ForayNL Name,Mycobank Name,Value
Cheilymenia stercorea,Cheilymenia stercorea,0
Cheimonophyllum candidissimum,Cheimonophyllum candidissimum,0
Chlorencoelia versiformis,Chlorencoelia versiformis,0
Chlorociboria aeruginascens,Chlorociboria aeruginascens,0
Chlorociboria aeruginosa,Chlorociboria aeruginosa,0
Chondrostereum purpureum,Chondrostereum purpureum,0
Chromosera lilacina,Chromosera lilacina,0
Chroogomphus ochraceus,Chroogomphus ochraceus,0
Chrysomphalina chrysophylla,Chrysomphalina chrysophylla,0
Chrysomyxa arctostaphyli,Chrysomyxa arctostaphyli,0
Chrysomyxa ledi,Chrysomyxa ledi,0
Chrysomyxa ledicola,Chrysomyxa ledicola,0
Chrysomyxa pyrolata,Chrysomyxa pyrolata,0
Chrysomyxa rhododendri,Chrysomyxa rhododendri,0
Chrysomyxa weirii,Chrysomyxa weirii,0
Cinereomyces lindbladii,Cinereomyces lindbladii,0
Cistella acuum,Cistella acuum,0
Cladosporium herbarum,Cladosporium herbarum,0
Claussenomyces atrovirens,Claussenomyces atrovirens,0
Clavaria amoenoides,Clavaria amoenoides,0
Clavaria argillacea,Clavaria argillacea,0
Clavaria falcata,Clavaria falcata,0
Clavaria fragilis,Clavaria fragilis,0
Clavaria fumosa,Clavaria fumosa,0
Clavaria fusiformis,Clavaria fusiformis,0
Clavaria rosea,Clavaria rosea,0
Clavaria rubicundula,Clavaria rubicundula,0
Clavaria sphagnicola,Clavaria sphagnicola,0
Clavaria tenuipes,Clavaria tenuipes,0
Clavaria vermicularis,Clavaria vermicularis,0
Clavariadelphus ligula,Clavariadelphus ligula,0
Clavariadelphus pistillaris,Clavariadelphus pistillaris,0
Clavariadelphus sachalinensis,Clavariadelphus sachalinensis,0
Clavariadelphus truncatus,Clavariadelphus truncatus,0
Claviceps nigricans,Claviceps nigricans,0
Claviceps purpurea,Claviceps purpurea,0
Clavulina cinerea,Clavulina cinerea,0
Clavulina coralloides,Clavulina coralloides,0
Clavulina cristata,Clavulina cristata,0
Clavulina rugosa,Clavulina rugosa,0
Clavulinopsis fusiformis,Clavulinopsis fusiformis,0
Clavulinopsis laeticolor,Clavulinopsis laeticolor,0
Climacocystis borealis,Climacocystis borealis,0
Clitocybe candicans,Clitocybe candicans,0
Clitocybe candicans var. dryadicola,Clitocybe candicans var. dryadicola,0
Clitocybe dealbata,Clitocybe dealbata,0
Clitocybe deceptiva,Clitocybe deceptiva,0
Clitocybe diatreta,Clitocybe diatreta,0
Clitocybe festiva,Clitocybe festiva,0
Clitocybe foetens,Clitocybe foetens,0
Clitocybe globispora,Clitocybe globispora,0
Clitocybe lateritia,Clitocybe lateritia,0
Clitocybe martiorum,Clitocybe martiorum,0
Clitocybe metachroa,Clitocybe metachroa,0
Clitocybe odora,Clitocybe odora,0
Clitocybe phyllophila,Clitocybe phyllophila,0
Clitocybe sinopica,Clitocybe sinopica,0
Clitocybe subalpina,Clitocybe subalpina,0
Clitocybe vibecina,Clitocybe vibecina,0
Clitocybula familia,Clitocybula familia,0
Clitopilus prunulus,Clitopilus prunulus,0
Clitopilus scyphoides var. omphaliformis,Clitopilus scyphoides var. omphaliformis,0
Clitopilus scyphoides var. scyphoides f. reductus,,3
Coleosporium asterum,Coleosporium asterum,0
Coleosporium vernoniae,Coleosporium vernoniae,0
Collybia cirrhata,Collybia cirrhata,0
Collybia cookei,Collybia cookei,0
Collybia tuberosa,Collybia tuberosa,0
Coltricia perennis,Coltricia perennis,0
Conferticium ochraceum,Conferticium ochraceum,0
Coniochaeta velutina,Coniochaeta velutina,0
Coniophora arida,Coniophora arida,0
Coniophora olivacea,Coniophora olivacea,0
Coniophora puteana,Coniophora puteana,0
Connopus acervatus,Connopus acervatus,0
Conocybe apala,Conocybe apala,0
Conocybe filaris,Conocybe filaris,0
Conocybe fimetaria,Conocybe fimetaria,0
Conocybe juniana,Conocybe juniana,0
Conocybe macrospora,Conocybe macrospora,0
Conocybe pilosella,Conocybe pilosella,0
Conocybe semiglobata,Conocybe semiglobata,0
Conocybe semiglobata var. campanulata,Conocybe semiglobata var. campanulata,0
Conocybe striatipes,Conocybe striatipes,0
Conocybe tenera,Conocybe tenera,0
Conocybe watlingii,Conocybe watlingii,0
Coprinellus micaceus,Coprinellus micaceus,0
Coprinopsis atramentaria,Coprinopsis atramentaria,0
Coprinopsis ephemeroides,Coprinopsis ephemeroides,0
Coprinopsis epichloea,Coprinopsis epichloea,0
Coprinopsis nivea,Coprinopsis nivea,0
Coprinopsis parvula,,3
Coprinopsis stercorea,Coprinopsis stercorea,0
Coprinus comatus,Coprinus comatus,0
Coprotus luteus,Coprotus luteus,0
Cortinarius acutus,Cortinarius acutus,0
Cortinarius agathosmus,Cortinarius agathosmus,0
Cortinarius alborufescens,Cortinarius alborufescens,0
Cortinarius albovariegatus,Cortinarius albovariegatus,0
Cortinarius alboviolaceus,Cortinarius alboviolaceus,0
Cortinarius alnetorum,Cortinarius alnetorum,0
Cortinarius alpinus,Cortinarius alpinus,0
Cortinarius americanus,Cortinarius americanus,0
Cortinarius angelesianus,Cortinarius angelesianus,0
Cortinarius anisochrous,Cortinarius anisochrous,0
Cortinarius anomalellus,Cortinarius anomalellus,0
Cortinarius anomalus,Cortinarius anomalus,0
Cortinarius argutus,Cortinarius argutus,0
Cortinarius armeniacus,Cortinarius armeniacus,0
Cortinarius armillatus,Cortinarius armillatus,0
Cortinarius atrocaeruleus,Cortinarius atrocaeruleus,0
Cortinarius aureofulvus,Cortinarius aureofulvus,0
Cortinarius badiovinaceus,Cortinarius badiovinaceus,0
Cortinarius balaustinus,Cortinarius balaustinus,0
Cortinarius balteatus,Cortinarius balteatus,0
Cortinarius bataillei,Cortinarius bataillei,0
Cortinarius bibulus,Cortinarius bibulus,0
Cortinarius biformis,Cortinarius biformis,0
Cortinarius bivelus,Cortinarius bivelus,0
Cortinarius bolaris,Cortinarius bolaris,0
Cortinarius brunneus,Cortinarius brunneus,0
Cortinarius bulbosus,Cortinarius bulbosus,0
Cortinarius caesiobrunneus,Cortinarius caesiobrunneus,0
Cortinarius callisteus,Cortinarius callisteus,0
Cortinarius camphoratus,Cortinarius camphoratus,0
Cortinarius caninus,Cortinarius caninus,0
Cortinarius caperatus,Cortinarius caperatus,0
Cortinarius casimiri,Cortinarius casimiri,0
Cortinarius chrysolitus,Cortinarius chrysolitus,0
Cortinarius cinnabarius,Cortinarius cinnabarinus,2
Cortinarius cinnamomeus,Cortinarius cinnamomeus,0
Cortinarius claricolor,Cortinarius claricolor,0
Cortinarius clarobrunneus,Cortinarius clarobrunneus,0
Cortinarius collinitus,Cortinarius collinitus,0
Cortinarius colus,Cortinarius colus,0
Cortinarius corrugis,Cortinarius corrugis,0
Cortinarius crassus,Cortinarius crassus,0
Cortinarius croceofolius,Cortinarius croceifolius,2
Cortinarius croceus,Cortinarius croceus,0
Cortinarius decipiens,Cortinarius decipiens,0
Cortinarius decipiens var. atrocoeruleus,Cortinarius decipiens var. atrocoeruleus,0
Cortinarius delibutus,Cortinarius delibutus,0
Cortinarius depressus,Cortinarius depressus,0
Cortinarius diasemospermus,Cortinarius diasemospermus,0
Cortinarius diasemospermus var. leptospermus,Cortinarius diasemospermus var. leptospermus,0
Cortinarius disjungendus,Cortinarius disjungendus,0
Cortinarius emunctus,Cortinarius emunctus,0
Cortinarius erubescens,Cortinarius erubescens,0
Cortinarius erugatus,Cortinarius erugatus,0
Cortinarius evernius,Cortinarius evernius,0
Cortinarius fasciatus,Cortinarius fasciatus,0
Cortinarius favrei,Cortinarius favrei,0
Cortinarius fennoscandicus,Cortinarius fennoscandicus,0
Cortinarius fervidus,Cortinarius fervidus,0
Cortinarius flexipes var. flabellus,Cortinarius flexipes var. flabellus,0
Cortinarius flexipes var. flexipes,Cortinarius flexipes var. flexipes,0
Cortinarius flexipes var. inolens,Cortinarius flexipes var. inolens,0
Cortinarius flos-paludis,Cortinarius flos-paludis,0
Cortinarius fragrans,Cortinarius fragrans,0
Cortinarius fulvescens,Cortinarius fulvescens,0
Cortinarius fulvo-ochrascens,Cortinarius fulvo-ochrascens,0
Cortinarius furvolaesus,Cortinarius furvolaesus,0
Cortinarius gentilis,Cortinarius gentilis,0
Cortinarius glandicolor,Cortinarius glandicolor,0
Cortinarius glaucopus,Cortinarius glaucopus,0
Cortinarius grosmorneensis,Cortinarius grosmorneensis,0
Cortinarius helvelloides,Cortinarius helvelloides,0
Cortinarius hemitrichus,Cortinarius hemitrichus,0
Cortinarius hercynicus,Cortinarius hercynicus,0
Cortinarius heterocyclus,Cortinarius heterocyclus,0
Cortinarius hinnuleus f. subtypicus,Cortinarius hinnuleus f. subtypicus,0
Cortinarius huronensis,Cortinarius huronensis,0
Cortinarius illuminus,Cortinarius illuminus,0
Cortinarius imbutus,Cortinarius imbutus,0
Cortinarius impennis,Cortinarius impennis,0
Cortinarius incisus ,Cortinarius incisus,1
Cortinarius incognitus,Cortinarius incognitus,0
Cortinarius infractus,Cortinarius infractus,0
Cortinarius ionophyllus,Cortinarius ionophyllus,0
Cortinarius jubarinus,Cortinarius jubarinus,0
Cortinarius junghuhnii,Cortinarius junghuhnii,0
Cortinarius laetissimus,Cortinarius laetissimus,0
Cortinarius laniger,Cortinarius laniger,0
Cortinarius lepidopus,Cortinarius lepidopus,0
Cortinarius leucophanes,Cortinarius leucophanes,0
Cortinarius lilacinus,Cortinarius lilacinus,0
Cortinarius limonius,Cortinarius limonius,0
Cortinarius lucorum,Cortinarius lucorum,0
Cortinarius luteo-ornatus,Cortinarius luteo-ornatus,0
Cortinarius malachius,Cortinarius malachius,0
Cortinarius malicorius,Cortinarius malicorius,0
Cortinarius mucifluus,Cortinarius mucifluus,0
Cortinarius mucosus,Cortinarius mucosus,0
Cortinarius multiformis,Cortinarius multiformis,0
Cortinarius muscigenus,Cortinarius muscigenus,0
Cortinarius neocallisteus,Cortinarius neocallisteus,0
Cortinarius obtusus,Cortinarius obtusus,0
Cortinarius ochrophyllus,Cortinarius ochrophyllus,0
Cortinarius olivaceofuscus,Cortinarius olivaceofuscus,0
Cortinarius paragaudis,Cortinarius paragaudis,0
Cortinarius paragaudis ssp. oenochelis,Cortinarius paragaudis subsp. oenochelis,2
Cortinarius parvannulatus,Cortinarius parvannulatus,0
Cortinarius pellstonianus,Cortinarius pellstonianus,0
Cortinarius percomis,Cortinarius percomis,0
Cortinarius phaeopygmaeus,Cortinarius phaeopygmaeus,0
Cortinarius pholideus,Cortinarius pholideus,0
Cortinarius pilatii,Cortinarius pilatii,0
Cortinarius pluvius,Cortinarius pluvius,0
Cortinarius polaris,Cortinarius polaris,0
Cortinarius porphyropus,Cortinarius porphyropus,0
Cortinarius praestigiosus,Cortinarius praestigiosus,0
Cortinarius privignoides,Cortinarius privignoides,0
Cortinarius psammocephalus,Cortinarius psammocephalus,0
Cortinarius purpurascens,Cortinarius purpurascens,0
Cortinarius quarciticus,Cortinarius quarciticus,0
Cortinarius raphanoides,Cortinarius raphanoides,0
Cortinarius renidens,Cortinarius renidens,0
Cortinarius rubellus,Cortinarius rubellus,0
Cortinarius rusticus,Cortinarius rusticus,0
Cortinarius saginus,Cortinarius saginus,0
Cortinarius sanguineus,Cortinarius sanguineus,0
Cortinarius saturninus,Cortinarius saturninus,0
Cortinarius scaurus,Cortinarius scaurus,0
Cortinarius scaurus var. sphagnophilus,Cortinarius scaurus var. sphagnophilus,0
Cortinarius scutulatus,Cortinarius scutulatus,0
Cortinarius semisanguineus,Cortinarius semisanguineus,0
Cortinarius semivestitus,Cortinarius semivestitus,0
Cortinarius septentrionalis,Cortinarius septentrionalis,0
Cortinarius sertipes,Cortinarius sertipes,0
Cortinarius solis-occasus,Cortinarius solis-occasus,0
Cortinarius sommerfeltii,Cortinarius sommerfeltii,0
Cortinarius sphagnophilus,Cortinarius sphagnophilus,0
Cortinarius spilomeus,Cortinarius spilomeus,0
Cortinarius stemmatus,Cortinarius stemmatus,0
Cortinarius stillatitius,Cortinarius stillatitius,0
Cortinarius subcroceofolius,Cortinarius subcroceofolius,0
Cortinarius suberi,Cortinarius suberi,0
Cortinarius subtortus,Cortinarius subtortus,0
Cortinarius tofaceus,Cortinarius tofaceus,0
Cortinarius tortuosus,Cortinarius tortuosus,0
Cortinarius traganus,Cortinarius traganus,0
Cortinarius triformis,Cortinarius triformis,0
Cortinarius trivialis,Cortinarius trivialis,0
Cortinarius tubarius,Cortinarius tubarius,0
Cortinarius turmalis,Cortinarius turmalis,0
Cortinarius uliginosus,Cortinarius uliginosus,0
Cortinarius umbrinolens,Cortinarius umbrinolens,0
Cortinarius valgus,Cortinarius valgus,0
Cortinarius varius,Cortinarius varius,0
Cortinarius venetus,Cortinarius venetus,0
Cortinarius venustus,Cortinarius venustus,0
Cortinarius vespertinus,Cortinarius vespertinus,0
Cortinarius vibratilis,Cortinarius vibratilis,0
Cortinarius violaceus,Cortinarius violaceus,0
Coryne dubia,Coryne dubia,0
Cotylidia undulata,Cotylidia undulata,0
Craterellus lutescens,Craterellus lutescens,0
Craterellus tubaeformis,Craterellus tubaeformis,0
Crepidotus calolepis,Crepidotus calolepis,0
Crepidotus cesatii,Crepidotus cesatii,0
Crepidotus versutus,Crepidotus versutus,0
Cribaria cancellata,Cribraria cancellata,2
Crinipellis setipes,Crinipellis setipes,0
Crocicreas coronatum,Crocicreas coronatum,0
Crucibulum laeve,Crucibulum laeve,0
Cryptodiaporthe corni,Cryptodiaporthe corni,0
Cudonia circinans,Cudonia circinans,0
Cudonia confusa,Cudonia confusa,0
Cudonia lutea,Cudonia lutea,0
Cuphophyllus borealis,Cuphophyllus borealis,0
Cuphophyllus cinerellus,Cuphophyllus cinerellus,0
Cuphophyllus colemannianus,Cuphophyllus colemannianus,0
Cuphophyllus lacmus,Cuphophyllus lacmus,0
Cuphophyllus pratensis,Cuphophyllus pratensis,0
Cuphophyllus virgineus,Cuphophyllus virgineus,0
Cyanosporus livens,Cyanosporus livens,0
Cyathicula coronata,Cyathicula coronata,0
Cyathus olla,Cyathus olla,0
Cylindrobasidium evolvens,Cylindrobasidium evolvens,0
Cystobasidium hypogymniicola,Cystobasidium hypogymniicola,0
Cystoderma amianthinum,Cystoderma amianthinum,0
Cystoderma jasonis,Cystoderma jasonis,0
Cystodermella cinnabarina,Cystodermella cinnabarina,0
Cystodermella granulosa,Cystodermella granulosa,0
Cystolepiota seminuda,Cystolepiota seminuda,0
Cytidia salicina,Cytidia salicina,0
Cytospora nivea,Cytospora nivea,0
Dacrymyces chrysocomus,Dacrymyces chrysocomus,0
Dacrymyces chrysospermus,Dacrymyces chrysospermus,0
Dacrymyces lacrymalis,Dacrymyces lacrymalis,0
Dacrymyces stillatus,Dacrymyces stillatus,0
Dacrymyces tortus,Dacrymyces tortus,0
Dacryobolus sudans,Dacryobolus sudans,0
Daedaleopsis confragosa,Daedaleopsis confragosa,0
Daldinia childiae,Daldinia childiae,0
Dasyscyphus virgineus,Dasyscyphus virgineus,0
Datronia mollis,Datronia mollis,0
Datronia scutellata,Datronia scutellata,0
Datroniella scutellata,Datroniella scutellata,0
Deconica montana,Deconica montana,0
Dermea cerasi,Dermea cerasi,0
Diatrype bullata,Diatrype bullata,0
Diatrype stigma,Diatrype stigma,0
Dictyophora duplicata,Dictyophora duplicata,0
Didymium clavus,Didymium clavus,0
Didymium iridis,Didymium iridis,0
Didymium melanospermum,Didymium melanospermum,0
Didymium minus,Didymium minus,0
Didymium squamulosum,Didymium squamulosum,0
Diplomitoporus crustulinus,Diplomitoporus crustulinus,0
Diplomitoporus lindbladii,Diplomitoporus lindbladii,0
Diplomitosporus lenis,Diplomitoporus lenis,2
Elaphocordyceps ophioglossoides,Elaphocordyceps ophioglossoides,0
Elaphomyces asperulus,Elaphomyces asperulus,0
Elaphomyces muricatus,Elaphomyces muricatus,0
Eleutheromyces subulatus,Eleutheromyces subulatus,0
Encoelia furfuracea,Encoelia furfuracea,0
Endogone pisiformis,Endogone pisiformis,0
"Entoloma ""NA bloxamii""",,3
Entoloma abortivum,Entoloma abortivum,0
Entoloma alpicolua,Entoloma alpicola,2
Entoloma bicolor,Entoloma bicolor,0
Entoloma caeruleopolitum,Entoloma caeruleopolitum,0
Entoloma carbonicola,Entoloma carbonicola,0
Entoloma cetratum,Entoloma cetratum,0
Entoloma coeruleoflocculosum,Entoloma coeruleoflocculosum,0
Entoloma conicum,Entoloma conicum,0
Entoloma cuniculorum,Entoloma cuniculorum,0
Entoloma cuspidiferum,Entoloma cuspidiferum,0
Entoloma elodes,Entoloma elodes,0
Entoloma formosum,Entoloma formosum,0
Entoloma fumosobrunneum,Entoloma fumosobrunneum,0
Entoloma fuscomarginatum,Entoloma fuscomarginatum,0
Entoloma fuscotomentosum,Entoloma fuscotomentosum,0
Entoloma hebes,Entoloma hebes,0
Entoloma incanum,Entoloma incanum,0
Entoloma incognitum,Entoloma incognitum,0
Entoloma infula,Entoloma infula,0
Entoloma jubatum,Entoloma jubatum,0
Entoloma lagenicystis,Entoloma lagenicystis,0
Entoloma lepiotosmus,Entoloma lepiotosmus,0
Entoloma lividocyanulum,Entoloma lividocyanulum,0
Entoloma longistriatum,Entoloma longistriatum,0
Entoloma luridum,Entoloma luridum,0
Entoloma luteum,Entoloma luteum,0
Entoloma majaloides,Entoloma majaloides,0
Entoloma mutabilipes,Entoloma mutabilipes,0
Entoloma pallescens,Entoloma pallescens,0
Entoloma papillatum,Entoloma papillatum,0
Entoloma pseudoprunuloides,Entoloma pseudoprunuloides,0
Entoloma quadratum,Entoloma quadratum,0
Entoloma rhodocylix,Entoloma rhodocylix,0
Entoloma rhodopolium var. nidorosum,Entoloma rhodopolium var. nidorosum,0
Entoloma rhodopolium var. rhodopolium,Entoloma rhodopolium var. rhodopolium,0
Entoloma scabropellis,Entoloma scabropellis,0
Entoloma sericatum,Entoloma sericatum,0
Entoloma sericellum,Entoloma sericellum,0
Entoloma sericeum,Entoloma sericeum,0
Entoloma serrulatum,Entoloma serrulatum,0
"Entoloma sp. ""dune entoloma""",,3
"Entoloma sp. ""marginate""",,3
Entoloma strictius,Entoloma strictius,0
Entoloma strictius var. isabellinum,Entoloma strictius var. isabellinum,0
Entoloma strictum,Entoloma strictum,0
Entoloma subsepiaceum,Entoloma subsepiaceum,0
Entoloma subserrulatum,Entoloma subserrulatum,0
Entoloma subsinuatum,Entoloma subsinuatum,0
Entoloma turbidum,Entoloma turbidum,0
Entoloma turci,Entoloma turci,0
Entoloma violaceum,Entoloma violaceum,0
Entoloma xanthoserrulatum,Entoloma xanthoserrulatum,0
Entomophthora muscae,Entomophthora muscae,0
Erysiphe aggregata,Erysiphe aggregata,0
Erysiphe aquilegiae var. ranunculi,Erysiphe aquilegiae var. ranunculi,0
Erysiphe polygoni,Erysiphe polygoni,0
Erysiphe trifolii,Erysiphe trifolii,0
Erysiphe vaccinii,Erysiphe vaccinii,0
Exidia glandulosa,Exidia glandulosa,0
Exidia nigricans,Exidia nigricans,0
Exidia nucleata,Exidia nucleata,0
Exidia pithya,Exidia pithya,0
Exidia recisa,Exidia recisa,0
Exidia saccharina,Exidia saccharina,0
Exidiopsis calcea,Exidiopsis calcea,0
Exobasidium canadense,Exobasidium canadense,0
Exobasidium cassandrae,Exobasidium cassandrae,0
Exobasidium juelianum,Exobasidium juelianum,0
Exobasidium karstenii,Exobasidium karstenii,0
Exobasidium ledi,Exobasidium ledi,0
Exobasidium oxycocci,Exobasidium oxycocci,0
Exobasidium rhododendri,Exobasidium rhododendri,0
Exobasidium savilei,Exobasidium savilei,0
Exobasidium splendidum,Exobasidium splendidum,0
Exobasidium vaccinii,Exobasidium vaccinii,0
Exobasidium vaccinii-uliginosi,Exobasidium vaccinii-uliginosi,0
Fayodia anthracobia,Fayodia anthracobia,0
Femsjonia peziziformis,Femsjonia peziziformis,0
Fibrodontia gossypina,Fibrodontia gossypina,0
Flammula alnicola,Flammula alnicola,0
Flavophlebia sulphureoisabellina,Flavophlebia sulfureoisabellina,2
Fomes fomentarius,Fomes fomentarius,0
Fomitiporia punctata,Fomitiporia punctata,0
Fomitopsis cajanderi,Fomitopsis cajanderi,0
Fomitopsis mounceae,Fomitopsis mounceae,0
Fomitopsis ochracea,Fomitopsis ochracea,0
Fomitopsis pinicola,Fomitopsis pinicola,0
Fomitopsis rosea,Fomitopsis rosea,0
Fuligo cinerea,Fuligo cinerea,0
Fuligo septica,Fuligo septica,0
Fuscoboletinus weaverae,Fuscoboletinus weaverae,0
Galerina atkinsoniana,Galerina atkinsoniana,0
Galerina calyptrata,Galerina calyptrata,0
Galerina hybrida,Galerina hybrida,0
Galerina hypnorum,Galerina hypnorum,0
Galerina leptocystis,Galerina leptocystis,0
Galerina marginata,Galerina marginata,0
Galerina mniophila,Galerina mniophila,0
Galerina paludosa,Galerina paludosa,0
Galerina sphagnicola,Galerina sphagnicola,0
Galerina sphagnorum,Galerina sphagnorum,0
Galerina stagnina,Galerina stagnina,0
Galerina tibiicystis,Galerina tibiicystis,0
Galerina triscopa,Galerina triscopa,0
Galerina uncialis,Galerina uncialis,0
Galerina vittiformis f.  tetraspora,Galerina vittiformis f. tetraspora,1
Galerina vittiformis f. bispora,Galerina vittiformis f. bispora,0
Ganoderma applanatum,Ganoderma applanatum,0
Geoglossum cookeianum,Geoglossum cookeianum,0
Geoglossum glabrum,Geoglossum glabrum,0
Geoglossum umbratile,Geoglossum umbratile,0
Geopyxis carbonaria,Geopyxis carbonaria,0
Gerhardtia leucopaxilloides,Gerhardtia leucopaxilloides,0
Gliophorus irrigatus,Gliophorus irrigatus,0
Gliophorus laetus,Gliophorus laetus,0
Gliophorus laetus var. flavus,Gliophorus laetus var. flavus,0
Gliophorus psittacinus,Gliophorus psittacinus,0
Globulicium hiemale,Globulicium hiemale,0
Gloeocystidiellum leucoxanthum,Gloeocystidiellum leucoxanthum,0
Gloeocystidiellum porosum,Gloeocystidiellum porosum,0
Gloeodontia subasperispora,Gloeodontia subasperispora,0
Gloeophyllum protractum,Gloeophyllum protractum,0
Gloeophyllum sepiarium,Gloeophyllum sepiarium,0
Gloeoporus taxicola,Gloeoporus taxicola,0
Gloiodon strigosus,Gloiodon strigosus,0
Gloiothele citrina,Gloiothele citrina,0
Gloiothele lactescens,Gloiothele lactescens,0
Gloioxanthomyces nitidus,Gloioxanthomyces nitidus,0
Golovinomyces asterum var. asterum,Golovinomyces asterum var. asterum,0
Golovinomyces asterum var. solidaginis,Golovinomyces asterum var. solidaginis,0
Golovinomyces depressus,Golovinomyces depressus,0
Golovinomyces sordidus,Golovinomyces sordidus,0
Gomphidius borealis,Gomphidius borealis,0
Gomphidius glutinosus,Gomphidius glutinosus,0
Gomphidius maculatus,Gomphidius maculatus,0
Gomphus clavatus,Gomphus clavatus,0
Guepiniopsis alpina,Guepiniopsis alpina,0
Gymnopilus bellulus,Gymnopilus bellulus,0
Gymnopilus junonius,Gymnopilus junonius,0
Gymnopilus penetrans,Gymnopilus penetrans,0
Gymnopilus picreus,Gymnopilus picreus,0
Gymnopilus sapineus,Gymnopilus sapineus,0
Gymnopus acervatus,Gymnopus acervatus,0
Gymnopus alpinus,Gymnopus alpinus,0
Gymnopus (Marasmius) androsaceus,,3
Gymnopus brunneolus comb. prov.,,3
Gymnopus confluens,Gymnopus confluens,0
Gymnopus dryophilus,Gymnopus dryophilus,0
Gymnopus eneficola,Gymnopus eneficola,0
Gymnopus impudicus,Gymnopus impudicus,0
Gymnopus lachnophyllus,Gymnopus lachnophyllus,0
Gymnopus loiseleuriatorum,Gymnopus loiseleurietorum,2
Gymnopus obscurus,Gymnopilus obscurus,2
Gymnopus ocior,Gymnopus ocior,0
Gymnopus peronatus,Gymnopus peronatus,0
Gymnopus striatipes,Gymnopus striatipes,0
Gymnosporangium claviceps,Gymnosporangium clavipes,2
Gymnosporangium cornutum,Gymnosporangium cornutum,0
Gymnosporangium nidus-avis,Gymnosporangium nidus-avis,0
Gyroflexus brevibasidiatus,Gyroflexus brevibasidiatus,0
Gyromitra ambigua,Gyromitra ambigua,0
Gyroporus cyanescens,Gyroporus cyanescens,0
Hapalopilus rutilans,Hapalopilus rutilans,0
Harrya chromapes,Harrya chromapes,0
Hebeloma calvinii,Hebeloma calvinii,0
Hebeloma candidipes,Hebeloma candidipes,0
Hebeloma dunense,Hebeloma dunense,0
Hebeloma geminatum,Hebeloma geminatum,0
Hebeloma hiemale,Hebeloma hiemale,0
Hebeloma incarnatulum,Hebeloma incarnatulum,0
Hebeloma marginatulum,Hebeloma marginatulum,0
Hebeloma mesophaeum,Hebeloma mesophaeum,0
Hebeloma minus,Hebeloma minus,0
Hebeloma naviculosporum,Hebeloma naviculosporum,0
Hebeloma oreophilum,Hebeloma oreophilum,0
Hebeloma sp. a,,3
Hebeloma velutipes,Hebeloma velutipes,0
Helminthosphaeria clavariarum,Helminthosphaeria clavariarum,0
Helotium clavus,Helotium clavus,0
Helvella corium,Helvella corium,0
Helvella crispa,Helvella crispa,0
Helvella elastica,Helvella elastica,0
Helvella lacunosa,Helvella lacunosa,0
Helvella macropus,Helvella macropus,0
Helvella phlebophora,Helvella phlebophora,0
Helvella sulcata,Helvella sulcata,0
Hemileccinum subglabripes,Hemileccinum subglabripes,0
Hemimycena gracilis,Hemimycena gracilis,0
Hemimycena lactea,Hemimycena lactea,0
Hemimycena pseudolactea,Hemimycena pseudolactea,0
Hemipholiota populnea var. edmundii,,3
Hemitrichia clavata,Hemitrichia clavata,0
Henningsomyces candidus,Henningsomyces candidus,0
Hericium coralloides,Hericium coralloides,0
Heyderia abietis,Heyderia abietis,0
Hohenbuehelia fluxilis,Hohenbuehelia fluxilis,0
Hohenbuehelia petaloides,Hohenbuehelia petaloides,0
Hohenbuehelia reniformis,Hohenbuehelia reniformis,0
Hohenbuehelia tremula,Hohenbuehelia tremula,0
Humaria hemisphaerica,Humaria hemisphaerica,0
Humidicutis marginata,Humidicutis marginata,0
Humidicutis marginata var. concolor,Humidicutis marginata var. concolor,0
Humidicutis marginata var. olivacea,Humidicutis marginata var. olivacea,0
Humidicutis pura,Humidicutis pura,0
Hyaloscypha albohyalina,Hyaloscypha albohyalina,0
Hydnellum aurantiacum,Hydnellum aurantiacum,0
Hydnellum caeruleum,Hydnellum caeruleum,0
Hydnellum concrescens,Hydnellum concrescens,0
Hydnellum ferrugineum,Hydnellum ferrugineum,0
Hydnellum frondosum,Hydnellum frondosum,0
Hydnellum geogenium,Hydnellum geogenium,0
Hydnellum multiceps,Hydnellum multiceps,0
Hydnellum peckii,Hydnellum peckii,0
Hydnellum pineticola,Hydnellum pineticola,0
Hydnellum scrobiculatum,Hydnellum scrobiculatum,0
Hydnellum suaveolens,Hydnellum suaveolens,0
Hydnellum velutinum var. spongiosipes,Hydnellum velutinum var. spongiosipes,0
Hydnophlebia chrysorhiza,Hydnophlebia chrysorhiza,0
Hydnoporia tabacina,Hydnoporia tabacina,0
Hydnotrya cubispora,Hydnotrya cubispora,0
Hydnum albidum,Hydnum albidum,0
"Hydnum ""repandum var. album""",Hydnum repandum var. album,2
"Hydnum ""repandum""",Hydnum repandum,2
Hydnum albomagnum,Hydnum albomagnum,0
Hydnum neorepandum,Hydnum neorepandum,0
Hydnum quebecense,Hydnum quebecense,0
Hydnum rufescens,Hydnum rufescens,0
Hydnum umbilicatum,Hydnum umbilicatum,0
Hydropus marginellus,Hydropus marginellus,0
Hygrocybe acutoconica,Hygrocybe acutoconica,0
Hygrocybe aurantiosplendens,Hygrocybe aurantiosplendens,0
Hygrocybe cantharellus,Hygrocybe cantharellus,0
Hygrocybe ceracea,Hygrocybe ceracea,0
Hygrocybe chlorophana,Hygrocybe chlorophana,0
Hygrocybe coccinea,Hygrocybe coccinea,0
Hygrocybe coccineocrenata,Hygrocybe coccineocrenata,0
