ForayNL Name,Mycobank Name,Value
Cladonia terrae-novae f. cinerascens,Cladonia terrae-novae f. cinerascens,0
Cladonia turgida,Cladonia turgida,0
Cladonia uncialis,Cladonia uncialis,0
Cladonia verticillata,Cladonia verticillata,0
Coccocarpia palmicola,Coccocarpia palmicola,0
Collema furfuraceum,Collema furfuraceum,0
Cystobasidium hypogymniicola,Cystobasidium hypogymniicola,0
Dermatocarpon miniatum,Dermatocarpon miniatum,0
Dibaeis baeomyces,Dibaeis baeomyces,0
Diploschistes scruposus,Diploschistes scruposus,0
Diplotomma nivalis,Diplotomma nivalis,0
Ephebe lanata,Ephebe lanata,0
Evernia mesomorpha,Evernia mesomorpha,0
Flavocetraria cucullata,Flavocetraria cucullata,0
Flavocetraria nivalis,Flavocetraria nivalis,0
Flavoplaca citrina,Flavoplaca citrina,0
Fuscopannaria ahlneri,Fuscopannaria ahlneri,0
Gowardia nigricans,Gowardia nigricans,0
Graphis elegens,Graphis elegans,2
Graphis scripta,Graphis scripta,0
Haematomma elatinum,Haematomma elatinum,0
Haematomma ochrophaeum,Haematomma ochrophaeum,0
Hymenelia obtecta,Hymenelia obtecta,0
Hypogymnia bitteri,Hypogymnia bitteri,0
Hypogymnia incurvoides,Hypogymnia incurvoides,0
Hypogymnia krogiae,Hypogymnia krogiae,0
Hypogymnia physodes,Hypogymnia physodes,0
Hypogymnia pulverata,Hypogymnia pulverata,0
Hypogymnia tubulosa,Hypogymnia tubulosa,0
Hypogymnia vittata,Hypogymnia vittata,0
Icmadophila ericetorum,Icmadophila ericetorum,0
Imshangia aleurites,Imshaugia aleurites,2
Japewia subaruifera,Japewia subaurifera,2
Lambiella furvella,Lambiella furvella,0
Lambiella impavida,Lambiella impavida,0
Lasallia papillosa,Lasallia papulosa,2
Lecanactis abietina,Lecanactis abietina,0
Lecanactis dubitans,Lecanactis dubia,2
Lecanora allophana,Lecanora allophana,0
Lecanora caesiorubella,Lecanora caesiorubella,0
Lecanora carpinea,Lecanora carpinea,0
Lecanora cincereofusca,Lecanora cinereofusca,2
Lecanora dispersa,Lecanora dispersa,0
Lecanora farinaria,Lecanora farinaria,0
Lecanora intricata,Lecanora intricata,0
Lecanora orae-frigidae,Lecanora orae-frigidae,0
Lecanora polytropa,Lecanora polytropa,0
Lecanora pulicaris,Lecanora pulicaris,0
Lecanora sp.,,3
Lecanora stenotropa,Lecanora stenotropa,0
Lecanora symmicta,Lecanora symmicta,0
Lecanora xylophila,Lecanora xylophila,0
Lecidea albofuscescens ,Lecidea albofuscescens,1
Lecidea auriculata,Lecidea auriculata,0
Lecidea auriculata var. auriculata,Lecidea auriculata var. auriculata,0
Lecidea cinnabarina,Lecidea cinnabarina,0
Lecidea crustulata,Lecidea crustulata,0
Lecidea lapicida,Lecidea lapicida,0
Lecidea lulensis,Lecidea lulensis,0
Lecidea pullata,Lecidea pullata,0
Lecidea sp.,,3
Lecidella elaeochroma,Lecidella elaeochroma,0
Lecidella euphroea (Lecidea euphorea),,3
Lecidella stigmatea (Lecidea stigmatea),,3
Lecidoma demissum,Lecidoma demissum,0
Lepra amara (Pertusaria amara; Variolaria amara),,3
Lepra ophthamiza (Variolaria ophthamiza),,3
Lepra panyrga,Lepra panyrga,0
Lepra sp.,,3
Lepra trachythallina,Lepra trachythallina,0
Lepraria finkii,Lepraria finkii,0
Lepraria lobificans ,Lepraria lobificans,1
Lepraria sp.,,3
Leptogium cyanescens,Leptogium cyanescens,0
Leptogium lichenoides f. lichenoides,Leptogium lichenoides f. lichenoides,0
Leptogium saturninum,Leptogium saturninum,0
Leptorhaphis epidermidis,Leptorhaphis epidermidis,0
Lichenicolous fungi on Arctoparmelia centrifuga (cf. Lichenostigma arctoparmeliae),,3
Lichenicolous fungi on Cladonia boryi,,3
Lichenicolous fungi on Hypogymnia physodes,,3
Lichenicolous fungi on Ophioparma ventosa (Muellerella ventosicola),,3
Lichenicolous fungi on Peltigera sp. (Pronectria robergei),,3
Lichenostigma saxicola,Lichenostigma saxicola,0
Lichinodium sirosiphoideum,Lichinodium sirosiphoideum,0
Lobaria pulmonaria,Lobaria pulmonaria,0
Lobaria quercizans,Lobaria quercizans,0
Lobaria scrobiculata,Lobaria scrobiculata,0
Lopadium disciforme,Lopadium disciforme,0
Lopadium sp.,,3
Loxospora elatina,Loxospora elatina,0
Loxospora ochrophaea,Loxospora ochrophaea,0
Melanelia disjuncta,Melanelia disjuncta,0
Melanelia hepatizon,Melanelia hepatizon,0
Melanelia panniformis,Melanelia panniformis,0
Melanelia stygia,Melanelia stygia,0
Melanelia subaurifera,Melanelia subaurifera,0
Melanelixia glabratula,Melanelixia glabratula,0
Melanohalea septentrionalis,Melanohalea septentrionalis,0
Melanohalea sp. nov.,,3
Melanohalea trabeculata,Melanohalea trabeculata,0
Menegazzia subsimilis,Menegazzia subsimilis,0
Menegazzia terebrata,Menegazzia terebrata,0
Micarea prasina s.l. (group),,3
Microcalicium conversum ,Microcalicium conversum,1
Montanelia panniformis,Montanelia panniformis,0
Mycoblastus affinis,Mycoblastus affinis,0
Mycoblastus caesius,Mycoblastus caesius,0
Mycoblastus sanguinarioides,Mycoblastus sanguinarioides,0
Mycoblastus sanguinarius,Mycoblastus sanguinarius,0
Mycocalicium subtile,Mycocalicium subtile,0
Nephroma arcticum,Nephroma arcticum,0
Nephroma bellum,Nephroma bellum,0
Nephroma laevigatum,Nephroma laevigatum,0
Nephroma parile,Nephroma parile,0
Nephroma resupinatum,Nephroma resupinatum,0
Ochrolechia androgyna,Ochrolechia androgyna,0
Ochrolechia frigida,Ochrolechia frigida,0
Ochrolechia gowardii,Ochrolechia gowardii,0
Ochrolechia granulosa,Ochrolechia pergranulosa,2
Ochrolechia mahluensis,Ochrolechia mahluensis,0
Ochrolechia pseudopallescens,Ochrolechia pseudopallescens,0
Ochrolechia sp.,,3
Ophioparma ventosa,Ophioparma ventosa,0
Parmelia omphaloides,Parmelia omphalodes,2
Parmelia saxatilis,Parmelia saxatilis,0
Parmelia squarrosa,Parmelia squarrosa,0
Parmelia sulcata,Parmelia sulcata,0
Parmeliella parvula,Parmeliella parvula,0
Parmeliella triptophylla,Parmeliella triptophylla,0
Parmeliopsis ambigua,Parmeliopsis ambigua,0
Parmeliopsis capitata,Parmeliopsis capitata,0
Parmeliopsis hyperopta,Parmeliopsis hyperopta,0
Pectenia plumbea (Degelia plumbea) ,,3
Peltigera aphthosa,Peltigera aphthosa,0
Peltigera canina,Peltigera canina,0
Peltigera degenii,Peltigera degenii,0
Peltigera didactyla,Peltigera didactyla,0
Peltigera elizabethae,Peltigera elisabethae,2
Peltigera extenuata,Peltigera extenuata,0
Peltigera horizontalis,Peltigera horizontalis,0
Peltigera hymeninia,Peltigera hymenina,2
Peltigera leucophlebia,Peltigera leucophlebia,0
Peltigera malacea,Peltigera malacea,0
